State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,% of Total Deaths
Alabama,1,1999,1999,35,4430141,0.8,0.6,1.1,0.1,0.00%
Alabama,1,2000,2000,46,4447100,1,0.8,1.4,0.2,0.10%
Alabama,1,2001,2001,42,4467634,0.9,0.7,1.3,0.1,0.00%
Alabama,1,2002,2002,49,4480089,1.1,0.8,1.4,0.2,0.10%
Alabama,1,2003,2003,62,4503491,1.4,1.1,1.8,0.2,0.10%
Alabama,1,2004,2004,62,4530729,1.4,1,1.8,0.2,0.10%
Alabama,1,2005,2005,73,4569805,1.6,1.3,2,0.2,0.10%
Alabama,1,2006,2006,56,4628981,1.2,0.9,1.6,0.2,0.10%
Alabama,1,2007,2007,62,4672840,1.3,1,1.7,0.2,0.10%
Alabama,1,2008,2008,64,4718206,1.4,1,1.7,0.2,0.10%
Alabama,1,2009,2009,76,4757938,1.6,1.3,2,0.2,0.10%
Alabama,1,2010,2010,63,4779736,1.3,1,1.7,0.2,0.10%
Alabama,1,2011,2011,88,4799918,1.8,1.5,2.3,0.2,0.10%
Alabama,1,2012,2012,89,4815960,1.8,1.5,2.3,0.2,0.10%
Alabama,1,2013,2013,89,4829479,1.8,1.5,2.3,0.2,0.10%
Alabama,1,2014,2014,89,4843214,1.8,1.5,2.3,0.2,0.10%
Alabama,1,2015,2015,102,4853875,2.1,1.7,2.5,0.2,0.10%
Alabama,1,2016,2016,87,4863300,1.8,1.4,2.2,0.2,0.10%
Alaska,2,1999,1999,Suppressed,624779,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2000,2000,Suppressed,626932,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2001,2001,Suppressed,633714,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2002,2002,10,642337,1.6 (Unreliable),0.7,2.9,0.5,0.00%
Alaska,2,2003,2003,Suppressed,648414,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2004,2004,Suppressed,659286,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2005,2005,Suppressed,666946,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2006,2006,Suppressed,675302,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2007,2007,Suppressed,680300,Suppressed,Suppressed,Suppressed,Suppressed,Suppressed
Alaska,2,2008,2008,10,687455,1.5 (Unreliable),0.7,2.7,0.5,0.00%
Alaska,2,2009,2009,13,698895,1.9 (Unreliable),1,3.2,0.5,0.00%
Alaska,2,2010,2010,14,710231,2.0 (Unreliable),1.1,3.3,0.5,0.00%
Alaska,2,2011,2011,14,722713,1.9 (Unreliable),1.1,3.3,0.5,0.00%
Alaska,2,2012,2012,18,731089,2.5 (Unreliable),1.5,3.9,0.6,0.00%
Alaska,2,2013,2013,10,736879,1.4 (Unreliable),0.7,2.5,0.4,0.00%
Alaska,2,2014,2014,15,736705,2.0 (Unreliable),1.1,3.4,0.5,0.00%
Alaska,2,2015,2015,20,737709,2.7,1.7,4.2,0.6,0.00%
Alaska,2,2016,2016,25,741894,3.4,2.2,5,0.7,0.00%
Arizona,4,1999,1999,33,5023823,0.7,0.5,0.9,0.1,0.00%
Arizona,4,2000,2000,27,5130632,0.5,0.3,0.8,0.1,0.00%
Arizona,4,2001,2001,37,5273477,0.7,0.5,1,0.1,0.00%
Arizona,4,2002,2002,62,5396255,1.1,0.9,1.5,0.1,0.10%
Arizona,4,2003,2003,54,5510364,1,0.7,1.3,0.1,0.10%
Arizona,4,2004,2004,62,5652404,1.1,0.8,1.4,0.1,0.10%
Arizona,4,2005,2005,84,5839077,1.4,1.1,1.8,0.2,0.10%
Arizona,4,2006,2006,82,6029141,1.4,1.1,1.7,0.2,0.10%
Arizona,4,2007,2007,85,6167681,1.4,1.1,1.7,0.1,0.10%
Arizona,4,2008,2008,75,6280362,1.2,0.9,1.5,0.1,0.10%
Arizona,4,2009,2009,83,6343154,1.3,1,1.6,0.1,0.10%
Arizona,4,2010,2010,142,6392017,2.2,1.9,2.6,0.2,0.20%
Arizona,4,2011,2011,162,6467163,2.5,2.1,2.9,0.2,0.20%
Arizona,4,2012,2012,194,6549634,3,2.5,3.4,0.2,0.20%
Arizona,4,2013,2013,164,6624617,2.5,2.1,2.9,0.2,0.20%
Arizona,4,2014,2014,177,6719993,2.6,2.2,3,0.2,0.20%
Arizona,4,2015,2015,184,6817565,2.7,2.3,3.1,0.2,0.20%
Arizona,4,2016,2016,194,6931071,2.8,2.4,3.2,0.2,0.20%
Arkansas,5,1999,1999,25,2651860,0.9,0.6,1.4,0.2,0.00%
Arkansas,5,2000,2000,20,2673400,0.7,0.5,1.2,0.2,0.00%
Arkansas,5,2001,2001,29,2691571,1.1,0.7,1.5,0.2,0.00%
Arkansas,5,2002,2002,31,2705927,1.1,0.8,1.6,0.2,0.00%
Arkansas,5,2003,2003,40,2724816,1.5,1,2,0.2,0.00%
Arkansas,5,2004,2004,51,2749686,1.9,1.4,2.4,0.3,0.10%
Arkansas,5,2005,2005,47,2781097,1.7,1.2,2.2,0.2,0.10%
Arkansas,5,2006,2006,66,2821761,2.3,1.8,3,0.3,0.10%
Arkansas,5,2007,2007,46,2848650,1.6,1.2,2.2,0.2,0.10%
Arkansas,5,2008,2008,62,2874554,2.2,1.7,2.8,0.3,0.10%
Arkansas,5,2009,2009,66,2896843,2.3,1.8,2.9,0.3,0.10%
Arkansas,5,2010,2010,61,2915918,2.1,1.6,2.7,0.3,0.10%
Arkansas,5,2011,2011,63,2939493,2.1,1.6,2.7,0.3,0.10%
Arkansas,5,2012,2012,69,2950685,2.3,1.8,3,0.3,0.10%
Arkansas,5,2013,2013,66,2958663,2.2,1.7,2.8,0.3,0.10%
Arkansas,5,2014,2014,93,2966912,3.1,2.5,3.8,0.3,0.10%
Arkansas,5,2015,2015,96,2977853,3.2,2.6,3.9,0.3,0.10%
Arkansas,5,2016,2016,105,2988248,3.5,2.8,4.2,0.3,0.10%
California,6,1999,1999,270,33499204,0.8,0.7,0.9,0,0.30%
California,6,2000,2000,322,33871648,1,0.8,1.1,0.1,0.40%
California,6,2001,2001,303,34479458,0.9,0.8,1,0.1,0.30%
California,6,2002,2002,381,34871843,1.1,1,1.2,0.1,0.40%
California,6,2003,2003,398,35253159,1.1,1,1.2,0.1,0.40%
California,6,2004,2004,408,35574576,1.1,1,1.3,0.1,0.40%
California,6,2005,2005,446,35827943,1.2,1.1,1.4,0.1,0.50%
California,6,2006,2006,500,36021202,1.4,1.3,1.5,0.1,0.50%
California,6,2007,2007,498,36250311,1.4,1.3,1.5,0.1,0.50%
California,6,2008,2008,512,36604337,1.4,1.3,1.5,0.1,0.60%
California,6,2009,2009,555,36961229,1.5,1.4,1.6,0.1,0.60%
California,6,2010,2010,512,37253956,1.4,1.3,1.5,0.1,0.60%
California,6,2011,2011,560,37676861,1.5,1.4,1.6,0.1,0.60%
California,6,2012,2012,515,38011074,1.4,1.2,1.5,0.1,0.60%
California,6,2013,2013,569,38335203,1.5,1.4,1.6,0.1,0.60%
California,6,2014,2014,592,38680810,1.5,1.4,1.7,0.1,0.60%
California,6,2015,2015,672,38993940,1.7,1.6,1.9,0.1,0.70%
California,6,2016,2016,702,39250017,1.8,1.7,1.9,0.1,0.80%
Colorado,8,1999,1999,42,4226018,1,0.7,1.3,0.2,0.00%
Colorado,8,2000,2000,28,4301261,0.7,0.4,0.9,0.1,0.00%
Colorado,8,2001,2001,44,4425687,1,0.7,1.3,0.1,0.00%
Colorado,8,2002,2002,36,4490406,0.8,0.6,1.1,0.1,0.00%
Colorado,8,2003,2003,55,4528732,1.2,0.9,1.6,0.2,0.10%
Colorado,8,2004,2004,46,4575013,1,0.7,1.3,0.1,0.10%
Colorado,8,2005,2005,56,4631888,1.2,0.9,1.6,0.2,0.10%
Colorado,8,2006,2006,58,4720423,1.2,0.9,1.6,0.2,0.10%
Colorado,8,2007,2007,64,4803868,1.3,1,1.7,0.2,0.10%
Colorado,8,2008,2008,72,4889730,1.5,1.2,1.9,0.2,0.10%
Colorado,8,2009,2009,62,4972195,1.2,1,1.6,0.2,0.10%
Colorado,8,2010,2010,83,5029196,1.7,1.3,2,0.2,0.10%
Colorado,8,2011,2011,58,5118360,1.1,0.9,1.5,0.1,0.10%
Colorado,8,2012,2012,77,5189867,1.5,1.2,1.9,0.2,0.10%
Colorado,8,2013,2013,91,5267603,1.7,1.4,2.1,0.2,0.10%
Colorado,8,2014,2014,96,5349648,1.8,1.5,2.2,0.2,0.10%
Colorado,8,2015,2015,112,5448819,2.1,1.7,2.4,0.2,0.10%
Colorado,8,2016,2016,111,5540545,2,1.6,2.4,0.2,0.10%
Connecticut,9,1999,1999,20,3386401,0.6,0.4,0.9,0.1,0.00%
Connecticut,9,2000,2000,34,3405565,1,0.7,1.4,0.2,0.00%
Connecticut,9,2001,2001,29,3432835,0.8,0.6,1.2,0.2,0.00%
Connecticut,9,2002,2002,33,3458749,1,0.7,1.3,0.2,0.00%
Connecticut,9,2003,2003,34,3484336,1,0.7,1.4,0.2,0.00%
Connecticut,9,2004,2004,42,3496094,1.2,0.9,1.6,0.2,0.00%
Connecticut,9,2005,2005,45,3506956,1.3,0.9,1.7,0.2,0.00%
Connecticut,9,2006,2006,47,3517460,1.3,1,1.8,0.2,0.10%
Connecticut,9,2007,2007,52,3527270,1.5,1.1,1.9,0.2,0.10%
Connecticut,9,2008,2008,44,3545579,1.2,0.9,1.7,0.2,0.00%
Connecticut,9,2009,2009,56,3561807,1.6,1.2,2,0.2,0.10%
Connecticut,9,2010,2010,56,3574097,1.6,1.2,2,0.2,0.10%
Connecticut,9,2011,2011,47,3589893,1.3,1,1.7,0.2,0.10%
Connecticut,9,2012,2012,45,3593795,1.3,0.9,1.7,0.2,0.00%
